n_training_sources,subset_index,model,test_sources,n,mae_deg,rmse_deg,r2,medae_deg,p90ae_deg
3,15,physics_residual_xgboost,5,133,13.950530240130153,19.625763643584424,0.4100596298240272,11.350756327311196,24.693980701764428
3,16,nnls_physics,5,169,15.638428699335403,24.117549737330187,0.5008242417262692,9.7396240234375,30.25477371215824
3,16,physics_residual_xgboost,5,169,24.62983747711313,33.12305395412249,0.058440293849425284,20.84530258178711,49.025976816813156
3,17,nnls_physics,5,154,15.340112227898139,22.100635374463383,0.40914100023175104,9.404903411865234,38.44267177581792
3,17,physics_residual_xgboost,5,154,18.52059626100319,23.61093016385648,0.3256264482960062,15.723406155904133,37.9847657521566
3,18,nnls_physics,5,136,18.76965375507579,27.817934174247842,0.4308250262390174,12.97317886352539,43.78799629211426
3,18,physics_residual_xgboost,5,136,18.626379508836713,29.687225376011895,0.3517608372258678,9.651259740193687,49.231743017832436
3,19,nnls_physics,5,166,15.802896666239542,21.35287725296868,0.32640531400879,12.124906539916992,36.70042419433594
3,19,physics_residual_xgboost,5,166,19.22869455817354,23.935204221211468,0.15363027517875338,17.13919067382812,39.32949956258139
4,0,nnls_physics,4,117,19.073129295283913,28.238653020253924,0.4092484555299346,12.332649230957031,43.18847579956055
4,0,physics_residual_xgboost,4,117,16.5703854590994,26.83274294189684,0.4666073194633321,11.079010009765625,30.714770889282224
4,1,nnls_physics,4,129,19.321392953857895,26.960462631498494,0.3247864222353808,14.245086669921875,42.932977294921876
4,1,physics_residual_xgboost,4,129,13.816564039931242,24.78058994492277,0.4295602656771076,8.44321060180664,26.60370527903239
4,2,nnls_physics,4,114,19.403004596107884,24.90074165247379,-0.2937745500296838,14.82109260559082,43.52687530517578
4,2,physics_residual_xgboost,4,114,13.728233333306704,18.764081817257157,0.2653361425909013,10.180058717727658,25.414688173929854
4,3,nnls_physics,4,102,17.374105649835922,28.375447630138446,0.4555503897561429,9.727226257324219,44.22454833984376
4,3,physics_residual_xgboost,4,102,15.999288849776088,27.376599464516904,0.4932062473808698,8.578728119532265,32.72086474100748
4,4,nnls_physics,4,147,14.972796991568844,20.743251434757248,0.25503258388640293,9.548698425292969,37.87040023803712
4,4,physics_residual_xgboost,4,147,14.143681982316735,17.6754457943953,0.45909080203861585,13.242163976033524,24.763106155395512
4,5,nnls_physics,4,99,17.70247649183177,24.518384587448143,0.14132907186866728,12.800000190734863,44.622659301757814
4,5,physics_residual_xgboost,4,99,11.058700026837663,15.417185967189365,0.6604894489742653,8.605082194010414,21.617779795328776
4,6,nnls_physics,4,103,19.00198829984202,24.002905685429166,0.06905930496374213,15.337326049804688,42.77411117553711
4,6,physics_residual_xgboost,4,103,12.724746218342997,20.087723574481032,0.3479876453889711,9.052034457524613,21.209884389241537
4,7,nnls_physics,4,91,16.674956562754872,27.88988372344374,0.4143041085061988,9.714828491210938,32.05669403076172
4,7,physics_residual_xgboost,4,91,21.315412573543657,33.654040028687206,0.14718823275091342,11.171426137288407,50.226505279541016
4,8,nnls_physics,4,91,17.52899259001344,25.329275656827384,0.38713671977707076,11.910049438476562,43.574947357177734
4,8,physics_residual_xgboost,4,91,13.496783810793916,21.535904315664972,0.5569586248183888,8.245060920715332,34.71159736315409
4,9,nnls_physics,4,136,14.310760505059186,19.536643658331894,0.38864195900149123,9.500408172607422,29.324082851409912
4,9,physics_residual_xgboost,4,136,13.490397320727032,18.572777597128965,0.44747817861251427,12.315763711929325,20.672120809555057
4,10,nnls_physics,4,135,19.122912908483436,27.96329216944556,0.42015293515029795,12.535980224609375,43.317299652099614
4,10,physics_residual_xgboost,4,135,17.113881307950727,25.928304982796597,0.501477097021773,11.223194758097335,35.57130190531413
4,11,nnls_physics,4,99,24.18223051591353,32.144336608000614,0.30320009852559116,17.566505432128906,49.08034973144532
4,11,physics_residual_xgboost,4,99,18.475258628828357,29.5263940249808,0.41207765289398135,11.911071459452316,38.08383509318034
4,12,nnls_physics,4,84,25.160995880762737,30.708333258784336,-0.4895245142046518,20.386329650878906,49.313820648193364
4,12,physics_residual_xgboost,4,84,19.1124524528545,23.906590302165167,0.09724387697207504,14.579168558120728,40.782242369651804
4,13,nnls_physics,4,165,14.98982420834628,23.083085389093963,0.48846148103455567,9.452117919921875,28.634913825988754
4,13,physics_residual_xgboost,4,165,17.171295853516064,24.90980366772194,0.40429501467134543,10.438379287719727,36.150932184855144
4,14,nnls_physics,4,150,14.61869218190511,20.790434235659465,0.3245223013646168,9.270757675170898,36.75553226470946
4,14,physics_residual_xgboost,4,150,17.056822113825213,21.81941907158059,0.25600458051903097,14.070086320241291,35.907896423339835
4,15,nnls_physics,4,147,14.254917994648421,19.276759080485117,0.2533206793521343,9.357688903808594,29.80347595214844
4,15,physics_residual_xgboost,4,147,16.27033634388359,20.121942471338176,0.18640945950142873,13.31062571207682,33.03297443389892
4,16,nnls_physics,4,109,18.773746297993792,25.5470878325431,0.24820775038147347,13.821891784667969,43.059651947021486
4,16,physics_residual_xgboost,4,109,15.272576535969334,23.448367521172013,0.3666551159348801,8.108390172322586,39.085371104876195
4,17,nnls_physics,4,91,24.57839531950898,33.34166828527308,0.3924833179899765,17.443065643310547,48.986961364746094
4,17,physics_residual_xgboost,4,91,22.9561310787941,33.95502715941651,0.3699257670302355,17.10718091328939,44.93034680684407
4,18,nnls_physics,4,121,19.06811495851879,24.32675616596404,0.15032189518548544,14.877998352050781,42.93082809448242
4,18,physics_residual_xgboost,4,121,14.583919441671247,21.640265272602484,0.3276255790215511,9.795649687449142,31.937740325927734
4,19,nnls_physics,4,73,25.462820889198618,30.491220711532858,0.013632955258107815,21.919696807861328,48.96697311401367
4,19,physics_residual_xgboost,4,73,17.843611635463354,25.2496685051266,0.3236051503737565,13.380522886912033,33.54473349253336
5,0,nnls_physics,3,57,25.5459620994434,37.00325326885565,0.41132749575742955,14.845535278320312,70.09143276214598
5,0,physics_residual_xgboost,3,57,22.47595913926063,35.16017607446151,0.46850887461312196,12.850489934285477,39.68470395406087
5,1,nnls_physics,3,102,17.718087673187256,26.489397210716817,0.4171860640581252,11.617988586425781,31.831453990936293
5,1,physics_residual_xgboost,3,102,15.815378766214728,27.533629230267323,0.3703304436409408,8.37016773223877,29.33630588054658
5,2,nnls_physics,3,99,18.056882212860415,22.23820195783235,-0.5062296187464528,14.76418685913086,42.30396041870117
5,2,physics_residual_xgboost,3,99,9.01032804436229,11.055557212240705,0.6277342199766978,8.05353967348735,17.42564458847046
5,3,nnls_physics,3,120,12.631553411483765,18.497282011193235,0.43547753657218047,7.690643310546875,25.305747985839858
5,3,physics_residual_xgboost,3,120,14.080956046986909,17.076700256364244,0.5188579624438799,12.664117336273193,24.98182830810547
5,4,nnls_physics,3,117,12.123551515432505,16.236985698538067,0.34661308366915033,7.997871398925781,24.632241821289067
