table_section,claim_role,analysis_split,scenario,model_name,n_samples,metric_name,metric_value,source_file
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Harmonic Mean,50,Within_15deg,0.62,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Weighted Geometric,50,MAE,14.0556,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Weighted Geometric,50,RMSE,22.5003,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Weighted Geometric,50,R2,0.566112,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Weighted Geometric,50,MedAE,7.7881,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Weighted Geometric,50,P90AE,31.82,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Weighted Geometric,50,Within_5deg,0.42,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Weighted Geometric,50,Within_10deg,0.6,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,balanced_holdout,v3.4_strict_original_protocol,Weighted Geometric,50,Within_15deg,0.62,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,PCRNN,75,MAE,9.2835,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,PCRNN,75,RMSE,21.9757,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,PCRNN,75,R2,0.652235,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,PCRNN,75,MedAE,1.7733,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,PCRNN,75,P90AE,24.1341,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,PCRNN,75,Within_5deg,0.706667,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,PCRNN,75,Within_10deg,0.786667,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,PCRNN,75,Within_15deg,0.866667,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Owens-Wendt,75,MAE,10.2278,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Owens-Wendt,75,RMSE,26.3387,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Owens-Wendt,75,R2,0.500434,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Owens-Wendt,75,MedAE,1.7734,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Owens-Wendt,75,P90AE,24.7808,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Owens-Wendt,75,Within_5deg,0.706667,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Owens-Wendt,75,Within_10deg,0.786667,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Owens-Wendt,75,Within_15deg,0.866667,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,XGBoost,75,MAE,14.8067,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,XGBoost,75,RMSE,23.0541,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,XGBoost,75,R2,0.617263,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,XGBoost,75,MedAE,8.5776,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,XGBoost,75,P90AE,33.929,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,XGBoost,75,Within_5deg,0.306667,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,XGBoost,75,Within_10deg,0.6,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,XGBoost,75,Within_15deg,0.72,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Random Forest,75,MAE,24.5947,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Random Forest,75,RMSE,33.6459,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Random Forest,75,R2,0.184795,main_result_table_v3.4_20260518.csv
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Random Forest,75,MedAE,15.576,main_result_table_v3.4_20260518.csv
