record_id,analysis_split,y_true,y_pred_original_all_liquid,y_pred_loo_sfe,delta_y_pred_loo_minus_original,prediction_changed,owens_wendt_original_all_liquid,owens_wendt_loo_sfe,delta_owens_wendt,residual_original_all_liquid,residual_loo_sfe,delta_residual,gate_original_all_liquid,gate_loo_sfe,delta_gate,abs_error_original_all_liquid,abs_error_loo_sfe,pcrnn_forward_recomputed,source_group_id,duplicate_policy
CA0569,source_disjoint_external,78.5,77.35759,70.88746643066406,-6.470123569335939,yes,77.357596,70.88747256047637,-6.470123439523633,-6e-06,-6.1298123057440534e-06,-1.298123057440533e-07,0.0,0.0,0.0,1.14241,7.6125335693359375,yes,SDX008,unique_or_condition_distinct_keep
CA0570,source_disjoint_external,49.5,59.204609,59.6863899230957,0.4817809230957053,yes,53.204677,55.213254310619874,2.008577310619877,5.999932,4.473135612475829,-1.526796387524171,0.272594,0.2144044041633606,-0.05818959583663941,9.704609,10.186389923095703,yes,SDX008,unique_or_condition_distinct_keep
CA0571,source_disjoint_external,47.6,45.014984,35.59592819213867,-9.419055807861326,yes,45.014985,33.66615672823677,-11.348828271763232,-1e-06,1.9297714639019006,1.9297724639019005,0.0,0.1913866251707077,0.1913866251707077,2.585016,12.00407180786133,yes,SDX008,unique_or_condition_distinct_keep
CA0572,source_disjoint_external,73.7,74.914497,81.44187927246094,6.52738227246094,yes,74.914508,81.44188346993167,6.52737546993167,-1e-05,-4.197470730105124e-06,5.802529269894877e-06,0.0,0.0,0.0,1.214497,7.741879272460935,yes,SDX008,unique_or_condition_distinct_keep
CA0573,source_disjoint_external,63.6,60.249096,58.28699493408203,-1.9621010659179703,yes,60.249099,58.28699811597389,-1.962100884026114,-3e-06,-3.1818918557746656e-06,-1.8189185577466552e-07,0.0,0.0,0.0,3.350904,5.31300506591797,yes,SDX008,unique_or_condition_distinct_keep
CA0574,source_disjoint_external,61.1,63.288742,71.30226135253906,8.013519352539063,yes,63.288747,71.3022628041112,8.013515804111194,-5e-06,-1.451572131827561e-06,3.5484278681724395e-06,0.0,0.0,0.0,2.188742,10.202261352539061,yes,SDX008,unique_or_condition_distinct_keep
CA0575,source_disjoint_external,36.2,44.04319,70.43052673339844,26.387336733398435,yes,44.043195,70.4305370719908,26.3873420719908,-5e-06,-1.0338592360881194e-05,-5.338592360881193e-06,0.0,0.0,0.0,7.84319,34.230526733398435,yes,SDX003,unique_or_condition_distinct_keep
CA0576,source_disjoint_external,32.3,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,32.3,yes,SDX003,unique_or_condition_distinct_keep
CA0577,source_disjoint_external,40.3,48.731209,93.7737045288086,45.042495528808594,yes,48.73121,93.77371242126532,45.04250242126532,-1e-06,-7.892456721947383e-06,-6.892456721947383e-06,0.0,0.0,0.0,8.431209,53.4737045288086,yes,SDX003,unique_or_condition_distinct_keep
CA0578,source_disjoint_external,30.0,39.587631,69.56149291992188,29.973861919921873,yes,39.587635,69.21455209908336,29.626917099083364,-3e-06,0.34694082083851185,0.34694382083851183,0.0,0.06643654406070709,0.06643654406070709,9.587631,39.561492919921875,yes,SDX003,unique_or_condition_distinct_keep
CA0579,source_disjoint_external,26.4,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,26.4,yes,SDX003,unique_or_condition_distinct_keep
CA0580,source_disjoint_external,32.8,43.19112,93.2872543334961,50.096134333496096,yes,43.191122,93.28725550494129,50.096133504941285,-1e-06,-1.1714451915167956e-06,-1.7144519151679565e-07,0.0,0.0,0.0,10.39112,60.4872543334961,yes,SDX003,unique_or_condition_distinct_keep
CA0581,source_disjoint_external,58.3,57.721714,54.46538162231445,-3.2563323776855455,yes,57.721718,54.46538400770327,-3.2563339922967316,-4e-06,-2.3853888180269678e-06,1.614611181973032e-06,0.0,0.0,0.0,0.578286,3.834618377685544,yes,SDX002,unique_or_condition_distinct_keep
CA0582,source_disjoint_external,36.1,38.181324,39.30577850341797,1.1244545034179723,yes,38.181325,39.30578186015207,1.1244568601520655,-1e-06,-3.3567340977924687e-06,-2.356734097792469e-06,0.0,0.0,0.0,2.081324,3.2057785034179673,yes,SDX002,unique_or_condition_distinct_keep
CA0583,source_disjoint_external,47.2,46.078957,41.557106018066406,-4.521850981933596,yes,46.078957,41.55711041582416,-4.52184658417584,-1e-06,-4.397757756180454e-06,-3.397757756180454e-06,0.0,0.0,0.0,1.121043,5.642893981933597,yes,SDX002,unique_or_condition_distinct_keep
CA0584,source_disjoint_external,83.8,83.908791,84.41458892822266,0.5057979282226626,yes,83.908792,84.41459728255495,0.5058052825549453,-1e-06,-8.354332294402411e-06,-7.3543322944024115e-06,0.0,0.0,0.0,0.108791,0.6145889282226591,yes,SDX002,unique_or_condition_distinct_keep
CA0585,source_disjoint_external,58.7,64.319138,64.18391418457031,-0.13522381542968276,yes,58.438832,58.27376184793401,-0.16507015206598652,5.880305,5.910152336636301,0.029847336636301236,0.283298,0.284382164478302,0.0010841644783020077,5.619138,5.48391418457031,yes,SDX002,unique_or_condition_distinct_keep
CA0586,source_disjoint_external,45.8,46.023327,46.81553649902344,0.7922094990234356,yes,46.023333,46.8155420239046,0.7922090239045971,-6e-06,-5.524881160567929e-06,4.751188394320708e-07,0.0,0.0,0.0,0.223327,1.0155364990234403,yes,SDX002,unique_or_condition_distinct_keep
CA0587,source_disjoint_external,79.9,79.582596,62.46319580078125,-17.119400199218745,yes,79.582601,62.46319903452707,-17.119401965472925,-5e-06,-3.233745822228684e-06,1.7662541777713163e-06,0.0,0.0,0.0,0.317404,17.436804199218756,yes,SDX010,unique_or_condition_distinct_keep
CA0588,source_disjoint_external,47.3,50.145409,53.781978607177734,3.6365696071777336,yes,50.145411,53.78198137290262,3.636570372902618,-3e-06,-2.7657248864443318e-06,2.342751135556683e-07,0.0,0.0,0.0,2.845409,6.481978607177737,yes,SDX010,unique_or_condition_distinct_keep
CA0589,source_disjoint_external,0.0,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,SDX010,unique_or_condition_distinct_keep
CA0590,source_disjoint_external,97.5,96.803268,60.829532623291016,-35.97373537670899,yes,96.803277,60.82953458536549,-35.97374241463451,-8e-06,-1.9620744708959137e-06,6.037925529104086e-06,0.0,0.0,0.0,0.696732,36.670467376708984,yes,SDX010,unique_or_condition_distinct_keep
CA0591,source_disjoint_external,51.3,56.974888,64.0732650756836,7.098377075683594,yes,56.97489,64.07326993636055,7.098379936360544,-2e-06,-4.860676952489484e-06,-2.8606769524894845e-06,0.0,0.0,0.0,5.674888,12.773265075683597,yes,SDX010,unique_or_condition_distinct_keep
CA0592,source_disjoint_external,25.6,0.0,0.0,0.0,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,25.6,yes,SDX010,unique_or_condition_distinct_keep
CA0593,source_disjoint_external,78.7,77.897926,22.18174171447754,-55.71618428552246,yes,77.897933,25.05971812035439,-52.838214879645605,-7e-06,-2.8779764058768507,-2.8779694058768506,0.0,0.10507264733314514,0.10507264733314514,0.802074,56.518258285522464,yes,SDX010,unique_or_condition_distinct_keep
