outer_fold,config_key,max_delta_cos,source_balance,residual_penalty,expert_set,n_experts,inner_oof_mae_deg,inner_oof_source_median_mae_deg,weights_json,median_best_epoch
1,delta0.35_unbalanced_rp0.02,0.35,False,0.02,physics+neural+xgboost+random_forest,4,16.128422372103405,19.07040120316707,"{""neural"": 0.0, ""physics"": 6.4375046092412856e-15, ""random_forest"": 0.20477698766542787, ""xgboost"": 0.7952230123345656}",9
1,delta0.35_unbalanced_rp0.05,0.35,False,0.05,physics+neural,2,18.551275897750074,20.446539463996885,"{""neural"": 1.0, ""physics"": 0.0}",9
1,delta0.35_unbalanced_rp0.05,0.35,False,0.05,physics+neural+xgboost,3,16.27285160041007,19.4018229881847,"{""neural"": 0.033379183874627905, ""physics"": 0.0, ""xgboost"": 0.966620816125372}",9
1,delta0.35_unbalanced_rp0.05,0.35,False,0.05,physics+neural+random_forest,3,17.31349902191225,19.44905425100065,"{""neural"": 2.4980018054065963e-15, ""physics"": 0.0, ""random_forest"": 0.9999999999999976}",9
1,delta0.35_unbalanced_rp0.05,0.35,False,0.05,physics+neural+xgboost+random_forest,4,16.12842236857876,19.07040117301976,"{""neural"": 6.278729977344201e-15, ""physics"": 0.0, ""random_forest"": 0.20477700594257242, ""xgboost"": 0.7952229940574213}",9
2,delta0.15_balanced_rp0.02,0.15,True,0.02,physics+neural,2,10.445052153269451,11.726163779364692,"{""neural"": 1.0, ""physics"": 0.0}",11
2,delta0.15_balanced_rp0.02,0.15,True,0.02,physics+neural+xgboost,3,9.875641577250901,9.518000254611621,"{""neural"": 0.6011103951309302, ""physics"": 0.0, ""xgboost"": 0.3988896048690697}",11
2,delta0.15_balanced_rp0.02,0.15,True,0.02,physics+neural+random_forest,3,10.333227534375073,11.297148824167415,"{""neural"": 0.7759176651560723, ""physics"": 3.5132945272638166e-13, ""random_forest"": 0.22408233484357645}",11
2,delta0.15_balanced_rp0.02,0.15,True,0.02,physics+neural+xgboost+random_forest,4,9.765177067683386,9.64694162911182,"{""neural"": 0.4002426979871981, ""physics"": 0.0, ""random_forest"": 0.2141087365705247, ""xgboost"": 0.38564856544227716}",11
2,delta0.15_balanced_rp0.05,0.15,True,0.05,physics+neural,2,10.44334040588812,11.726322407192697,"{""neural"": 0.9999999999999531, ""physics"": 4.6851411639181606e-14}",11
2,delta0.15_balanced_rp0.05,0.15,True,0.05,physics+neural+xgboost,3,9.874579919310973,9.519133990686154,"{""neural"": 0.601370305707558, ""physics"": 3.7440796609364e-14, ""xgboost"": 0.39862969429240463}",11
2,delta0.15_balanced_rp0.05,0.15,True,0.05,physics+neural+random_forest,3,10.331956637334523,11.297916745556352,"{""neural"": 0.7762544485552042, ""physics"": 0.0, ""random_forest"": 0.2237455514447959}",11
2,delta0.15_balanced_rp0.05,0.15,True,0.05,physics+neural+xgboost+random_forest,4,9.764533270902449,9.647346496400536,"{""neural"": 0.4009489027799932, ""physics"": 0.0, ""random_forest"": 0.2136455002973817, ""xgboost"": 0.3854055969226252}",11
2,delta0.15_unbalanced_rp0.02,0.15,False,0.02,physics+neural,2,10.412156275643444,11.55386344061969,"{""neural"": 0.999999999999896, ""physics"": 1.0402789740737717e-13}",13
2,delta0.15_unbalanced_rp0.02,0.15,False,0.02,physics+neural+xgboost,3,9.76389978642222,9.529482272617038,"{""neural"": 0.6035157901562078, ""physics"": 0.0, ""xgboost"": 0.3964842098437921}",13
2,delta0.15_unbalanced_rp0.02,0.15,False,0.02,physics+neural+random_forest,3,10.36554056233147,11.274668279361764,"{""neural"": 0.8397494278797987, ""physics"": 0.0, ""random_forest"": 0.16025057212020136}",13
2,delta0.15_unbalanced_rp0.02,0.15,False,0.02,physics+neural+xgboost+random_forest,4,9.724963840893965,9.656871479192004,"{""neural"": 0.4733098607459299, ""physics"": 1.3581852728427994e-13, ""random_forest"": 0.13970732015871967, ""xgboost"": 0.3869828190952146}",13
2,delta0.15_unbalanced_rp0.05,0.15,False,0.05,physics+neural,2,10.377610287136552,11.55381353166371,"{""neural"": 0.9999999999999751, ""physics"": 2.4868995751603507e-14}",13
2,delta0.15_unbalanced_rp0.05,0.15,False,0.05,physics+neural+xgboost,3,9.734901908239175,9.541915809345998,"{""neural"": 0.6071571349343927, ""physics"": 0.0, ""xgboost"": 0.39284286506560717}",13
2,delta0.15_unbalanced_rp0.05,0.15,False,0.05,physics+neural+random_forest,3,10.33720915484513,11.287376231695976,"{""neural"": 0.8470677188506873, ""physics"": 1.0964916041106276e-14, ""random_forest"": 0.15293228114930174}",13
2,delta0.15_unbalanced_rp0.05,0.15,False,0.05,physics+neural+xgboost+random_forest,4,9.705752109585976,9.662048255419734,"{""neural"": 0.49237939617831844, ""physics"": 1.8231995237413392e-13, ""random_forest"": 0.12506758613110153, ""xgboost"": 0.38255301769039773}",13
2,delta0.25_balanced_rp0.02,0.25,True,0.02,physics+neural,2,10.097724642223781,11.163690588209365,"{""neural"": 1.0, ""physics"": 0.0}",12
2,delta0.25_balanced_rp0.02,0.25,True,0.02,physics+neural+xgboost,3,9.567569297716982,9.589251156874015,"{""neural"": 0.6431960563721768, ""physics"": 0.0, ""xgboost"": 0.3568039436278232}",12
2,delta0.25_balanced_rp0.02,0.25,True,0.02,physics+neural+random_forest,3,10.095988516864898,11.068620121843843,"{""neural"": 0.9296851662951585, ""physics"": 0.0, ""random_forest"": 0.07031483370484146}",12
2,delta0.25_balanced_rp0.02,0.25,True,0.02,physics+neural+xgboost+random_forest,4,9.563105094237502,9.596945723547872,"{""neural"": 0.6013131725573022, ""physics"": 0.0, ""random_forest"": 0.046782379342831734, ""xgboost"": 0.35190444809986604}",12
2,delta0.25_balanced_rp0.05,0.25,True,0.05,physics+neural,2,10.0783796872033,11.16393059624566,"{""neural"": 1.0, ""physics"": 0.0}",12
2,delta0.25_balanced_rp0.05,0.25,True,0.05,physics+neural+xgboost,3,9.556438858530278,9.599487917365245,"{""neural"": 0.6458807434432772, ""physics"": 1.1022350804160749e-15, ""xgboost"": 0.3541192565567218}",12
2,delta0.25_balanced_rp0.05,0.25,True,0.05,physics+neural+random_forest,3,10.076777950490747,11.076139407272985,"{""neural"": 0.935080498710315, ""physics"": 4.650050418504582e-13, ""random_forest"": 0.06491950128922012}",12
2,delta0.25_balanced_rp0.05,0.25,True,0.05,physics+neural+xgboost+random_forest,4,9.552141273793943,9.606674203885518,"{""neural"": 0.6070382627405009, ""physics"": 1.8718833517191065e-13, ""random_forest"": 0.04340257069016132, ""xgboost"": 0.3495591665691507}",12
2,delta0.25_unbalanced_rp0.02,0.25,False,0.02,physics+neural,2,9.985639275444907,11.216920873853915,"{""neural"": 0.9999999999999878, ""physics"": 1.2323475573339238e-14}",15
2,delta0.25_unbalanced_rp0.02,0.25,False,0.02,physics+neural+xgboost,3,9.42179192897882,9.699935835135966,"{""neural"": 0.6511091975741427, ""physics"": 0.0, ""xgboost"": 0.3488908024258573}",15
2,delta0.25_unbalanced_rp0.02,0.25,False,0.02,physics+neural+random_forest,3,9.985639275445278,11.216920873854146,"{""neural"": 0.9999999999998246, ""physics"": 1.7552626019323318e-13, ""random_forest"": 0.0}",15
2,delta0.25_unbalanced_rp0.02,0.25,False,0.02,physics+neural+xgboost+random_forest,4,9.421791929036246,9.699935822679748,"{""neural"": 0.6511091939389958, ""physics"": 2.012074815406931e-13, ""random_forest"": 0.0, ""xgboost"": 0.3488908060608029}",15
