measurement_id,surface_group_id,source_group_id,liquid_id,contact_angle_deg,contact_angle_type,measurement_method,temperature_K,humidity_percent,pressure_atm,droplet_volume_uL,replicates_n,contact_angle_std_deg,contact_angle_min_deg,contact_angle_max_deg,quality_grade,conflict_flag,solid_total_surface_energy_mJ_m2,solid_dispersion_mJ_m2,solid_polar_mJ_m2,solid_surface_energy_source,solid_surface_energy_source_type,data_extraction_note,record_id,sfe_source_type,new_external_source_flag,target_eligible
CA0043,SFC_8236ECA9EB74,SRC023,LIQ_0F4168490E,115.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,18.5,18.5,0.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0043,assumed_or_estimated,no,diagnostic_only
CA0044,SFC_49842D0D9B8F,SRC023,LIQ_0F4168490E,110.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,22.0,22.0,0.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0044,assumed_or_estimated,no,diagnostic_only
CA0045,SFC_E805A27F910D,SRC023,LIQ_0F4168490E,118.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,16.0,16.0,0.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0045,assumed_or_estimated,no,diagnostic_only
CA0046,SFC_8236ECA9EB74,SRC023,LIQ_6656B41AB7,88.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,18.5,18.5,0.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0046,assumed_or_estimated,no,diagnostic_only
CA0047,SFC_49842D0D9B8F,SRC023,LIQ_6656B41AB7,82.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,22.0,22.0,0.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0047,assumed_or_estimated,no,diagnostic_only
CA0048,SFC_E805A27F910D,SRC023,LIQ_6656B41AB7,90.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,16.0,16.0,0.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0048,assumed_or_estimated,no,diagnostic_only
CA0049,SFC_8236ECA9EB74,SRC023,LIQ_53310FAFB3,98.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,18.5,18.5,0.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0049,assumed_or_estimated,no,diagnostic_only
CA0050,SFC_49842D0D9B8F,SRC023,LIQ_53310FAFB3,95.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,22.0,22.0,0.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0050,assumed_or_estimated,no,diagnostic_only
CA0051,SFC_E805A27F910D,SRC023,LIQ_53310FAFB3,100.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,16.0,16.0,0.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0051,assumed_or_estimated,no,diagnostic_only
CA0052,SFC_2F8ECAFB7400,SRC023,LIQ_0F4168490E,85.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,35.0,32.0,3.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0052,assumed_or_estimated,no,diagnostic_only
